qst_deliver_message|Հասո զպատգամն առ {s13}
qst_deliver_message_to_enemy_lord|Հասո զպատգամն առ թշնամի տէրն {s13}
qst_raise_troops|Կրթեա զ{reg1} {s14}
qst_escort_lady|Ուղեկից լեր {s13}ի մինչեւ ց{s14}
qst_deal_with_bandits_at_lords_village|Փրկեա զ{s15} ի յելուզակաց
qst_collect_taxes|Ժողովեա զհարկս ի {s3}է
qst_hunt_down_fugitive|Որսա զ{s4}
qst_kill_local_merchant|Սպան զվաճառականն ի {s3}
qst_bring_back_runaway_serfs|Դարձո զփախստական մշակսն
qst_follow_spy|Հետեւեա լրտեսին մինչեւ ի վայր տեսութեան
qst_capture_enemy_hero|Գերի վարեա զտէր ոմն ի {s13}է
qst_lend_companion|Տուր զ{s3} իբրեւ օգնական {s9}ի
qst_collect_debt|Ժողովեա զպարտս {s3}ի առ {s9}
qst_incriminate_loyal_commander|Զրպարտեա զհաւատարիմ հրամանատարն {s13} առ {s16}
qst_meet_spy_in_enemy_town|Տես զլրտեսն ի թշնամի քաղաքին {s13}
qst_capture_prisoners|Բեր զ{reg1} {s3} իբրեւ գերի
qst_lend_surgeon|Տուր զվիրաբոյժ քո ({s3}) {s1}ի
qst_follow_army|Հետեւեա զօրացն {s9}ի
qst_report_to_army|Ազդ տուր սպարապետին ({s13})
qst_deliver_cattle_to_army|Տար զ{reg3} արջառս վասն {s13}ի
qst_join_siege_with_army|Յարեա ի պաշարումն {s14}ի
qst_screen_army|Հետախուզեա զառաջընթաց զօրացն {s13}ի
qst_scout_waypoints|Հետախուզեա զ{s13}, զ{s14} եւ զ{s15}
qst_rescue_lord_by_replace|Փրկեա զ{s13} ի {s14}է
qst_deliver_message_to_prisoner_lord|Հասո զպատգամն առ {s13} ի {s14}
qst_duel_for_lady|Կոչեա զ{s13} ի մենամարտ վասն տիկնոջ
qst_duel_courtship_rival|Կոչեա զ{s13} ի մենամարտ (ըստ կամաց)
qst_duel_avenge_insult|Կոչեա զ{s13} ի մենամարտ վասն վրէժխնդրութեան
qst_move_cattle_herd|Վարեա զերամակն առ {s13}
qst_escort_merchant_caravan|Ուղեկից լեր կարաւանին մինչեւ ց{s8}
qst_deliver_wine|Տար զ{reg5} {s6} առ {s8}
qst_troublesome_bandits|Ջնջեա զչարագործ յելուզակսն
qst_kidnapped_girl|Տար զփրկագինն աղջկանն
qst_persuade_lords_to_make_peace|Համոզեա զերկուս տեարսն ի հաշտութիւն
qst_deal_with_looters|Հաղթեա աւարառուացն
qst_deal_with_night_bandits|Հաղթեա գիշերային յելուզակացն
qst_deliver_grain|Տար զցորեանն առ {s3}
qst_deliver_cattle|Տար զ{reg5} արջառս առ {s3}
qst_train_peasants_against_bandits|Կրթեա զգեղջուկսն {s13}ի ընդդէմ յելուզակաց
qst_eliminate_bandits_infesting_village|Մաքրեա զ{s1} ի յելուզակաց
qst_visit_lady|Այցելեա տիկնոջ
qst_formal_marriage_proposal|Պաշտօնական առաջարկ ամուսնութեան
qst_obtain_liege_blessing|Ստացիր զօրհնութիւն տեառն քոյ
qst_wed_betrothed|Ամուսնացիր ընդ նշանածի քոյ
qst_wed_betrothed_female|Ամուսնացիր ընդ նշանածի քոյ
qst_join_faction|Ուխտեա զհպատակութիւն առ {s1}
qst_rebel_against_kingdom|Օգնեա {s13}ի յառնուլ զգահն {s14}ի
qst_consult_with_minister|Խորհրդակցեա ընդ պաշտօնէի քոյ
qst_organize_feast|Կազմեա զխրախճանութիւն
qst_resolve_dispute|Աւարտեա զվէճն
qst_offer_gift|Մատո զընծայ
qst_denounce_lord|Հրաժարեա ի հպատակութենէ տեառն
qst_intrigue_against_lord|Նիւթեա դաւս ընդդէմ տեառն
qst_track_down_bandits|Հետեւեա յելուզակացն
qst_track_down_provocateurs|Հետեւեա գրգռիչացն
qst_retaliate_for_border_incident|Հատուցո զդէպս սահմանի
qst_raid_caravan_to_start_war|Յարձակեա ի կարաւան զի սկսցես զպատերազմ
qst_cause_provocation|Գրգռեա զթագաւորութիւն մի յարձակիլ յայլ
qst_rescue_prisoner|Փրկեա զբանտարկեալն փրկագնով կամ առանց այնր
qst_destroy_bandit_lair|Կործանեա զկայան յելուզակաց
qst_collect_men|Ժողովեա զհինգ արս
qst_learn_where_merchant_brother_is|Գիտա թէ ո՞ւր պահին պատանդքն
qst_save_relative_of_merchant|Յարձակեա ի կայան յելուզակաց
qst_save_town_from_bandits|Փրկեա զքաղաքն ի յելուզակաց
qst_quests_end|Աւարտ առաքելութեանց
