hint_1|Կարող էք հրամայել զօրաց ձերոց ունել զտեղի ինչ՝ կալեալ զփականակն F1:
hint_2|Ի ժամանակս անձրեւաց մարդիկ եւ երիվարք գնան ծանրագոյնս:
hint_3|Մարթիք սպասել ի քարտէսի աշխարհին՝ կալեալ զփականակն ընդմիջութեան:
hint_4|Մարթիք ժողովել զնոր զօրականս վասն գնդի ձերոյ ի պանդոկս:
hint_5|Կարող էք հրամանատարել գնդի ձերում ի մարտի:
hint_6|Գունդ խրոխտացեալ բարոյիւ ընթանայ արագագոյնս ի քարտէսի աշխարհին:
hint_7|Վիրաւորեալք գնդին առողջանան վաղագոյն ի հանգստեան ի պանդոկս:
hint_8|Վասն արագ փոխանակութեան իրաց ի պատուհանի ստացուածոց, կալարուք զփականակն Ctrl եւ հարէք զպիտանի իրն ձախ կոճակաւ մկանն:
hint_9|Կարող էք միացուցանել զհրամանատարական միջերես ի մարտի՝ հարկանելով զփականակն Backspace:
hint_10|Վճարէք զկէս վարձուց գնդի ձերում զժամանակս գոլոյ ի քաղաքի կամ ի դղեկի ուրեք: Եւս վճարի կէս վարձուց պահապանաց ձերոց:
hint_11|Մարթիք անյապաղ ելանել յուրեք տեղւոջէ՝ հարկանելով զփականակն Tab:
hint_12|Մարթիք ունել զփականակն Shift զի արձակիցէք նետս ի վերայ թշնամեաց, որք հեռագոյնս գտանին:
