dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Կամիմ յետաձգել զկարգումն տիրոջն, մինչեւ խորհրդակցեցայց ընդ հպատակս իմ:
dlga_award_fief_to_vassal_defer:close_window|Որպէս եւ հաճոյ է քեզ, {reg59?տիկին:տէր} իմ:^Դու ես տէրն՝ քեզ է վճռել:
dlga_award_fief_to_vassal_2:close_window|Որպէս եւ հաճոյ է քեզ, {reg59?տիկին:տէր} իմ:
dlga_event_triggered:center_captured_rebellion|{s1} տագնապի առանց տիրոջ: Զո՞ւմ պարտիմ կարգել իբրեւ գլխաւոր:
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}: {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|Աղաչեմ, {s65}, կամէի պահել զ{s1} ինձ: (Կալուածք՝ {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, {s1} յայսմհետէ պատկանի քեզ: (Կալուածք՝ {s0})
dlga_center_captured_rebellion_2:close_window|Հը՛մմմ: Բարի, {playername}: Կարի գնահատեմ զխորհուրդս քո: Նոր տէրն {s1}-ի արդ {reg6?ես:{reg7?դու:{s11}}} է:
dlga_start:fighter_talk|Բարի՛ աւր: Մեք յղկեմք աստ զմարտական հմտութիւնս մեր եւ կազմակերպեմք զկրթական կռիւս: Թուի թէ քեզ եւս ոչ էր վնաս կրթիլ: Միացի՛ր մեզ, եւ ցուցցուք քեզ հնարքս ինչ: Իսկ եթէ պիտոյ իցէ, բացատրեսցուք եւ զարուեստն մարտի - հա՛րց, ջանացայց պատմել զամենայն զոր գիտեմ:
dlga_start:fighter_talk.1|Յո՞ր իրս կամիս վարժիլ:
dlga_fighter_pretalk:fighter_talk|Ասա՛, յո՞ր իրս կամիս կրթիլ:
dlga_fighter_talk:fighter_talk_train_attack|Կամիմ վարժիլ ի յարձակման:
dlga_fighter_talk:fighter_talk_train_parry|Կամիմ վարժիլ ի պաշտպանութեան զինուք:
dlga_fighter_talk:fighter_talk_train_combat|Կրթեսցուք փոքր մի ի մարտի:
dlga_fighter_talk:close_window|[Մեկնիլ]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|Գերազա՛նց: Գոն չորք հիմնական ուղղութիւնք յարձակման: Նոքա են հարուածք ի վերուստ, յաջմէ, ահեկէ եւ խոցումն: Իսկ արդ ասացից քեզ, թէ յոր ուղղութեամբ հարկանել, եւ դու ջանասջի՛ր կատարել զհարուածն ուղիղ: ^^(Առ ի ընտրել զուղղութիւն հարուածոյն, շարժեա՛ զմկնիկն՝ սեղմելով զձախ կոճակն: Զորաւրինակ, եթէ հարկաւոր իցէ հարկանել ի վերուստ, մղեա՛ զմկնիկն ի վեր՝ միանգամայն սեղմելով զձախ կոճակն: Նշանքն ի պաստառի աւգնեսցեն ձեզ ընտրել զուղիղ գործողութիւնն:)
dlga_fighter_talk_train_attack_2:close_window|Սկսցո՛ւք զկրթութիւնն:
dlga_fighter_talk_train_attack_2:fighter_pretalk|Արդարեւ, կամիմ ես պարապիլ այլով իմիք:
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|Ի տարբերութիւն վահանի, զէնն կարէ խափանել զմի միայն յարձակումն յորոշեալ ուղղութենէ: Զորաւրինակ, եթէ խափանես զհարուածն ի վերուստ, ապա վանեսցես ճիշտ զհարուածն ի վերուստ, բայց զքեզ տակաւին մարթին խոցել հարուածքն ի կողմանց եւ խոցմունքն: ^^(Առ ի կանգնել զպաշտպանութիւնն, սեղմեա՛ եւ պահեա՛ զաջ կոճակն մկնիկին:)
