ui_music_volume|Երաժշտութիւն:
ui_sound_volume|Ձայն:
ui_mouse_sensitivity|Զգայունութիւն մկան:
ui_invert_mouse_y_axis|Շրջել զառանցքն Y մկան:
ui_enabled|Միացեալ
ui_disabled|Խափանեալ
ui_damage_to_player|Վնաս խաղացողին:
ui_reduced_to_1_over_4_easiest|Նուազեալ առ 1/4 (Դիւրագոյն)
ui_reduced_to_1_over_2_easy|Նուազեալ առ 1/2 (Դիւրին)
ui_damage_to_friends|Վնաս բարեկամաց:
ui_reduced_to_1_over_2_easiest|Նուազեալ առ 1/2 (Դիւրագոյն)
ui_reduced_to_3_over_4_easy|Նուազեալ առ 3/4 (Դիւրին)
ui_normal|Բնական
ui_combat_ai|Բանականութիւն մարտի:
ui_combat_speed|Արագութիւն մարտի:
ui_good|Բարի
ui_average_caps|Միջին
ui_poor|Տկար
ui_faster|Արագագոյն
ui_slower|Դանդաղագոյն
ui_control_block_direction|Ուղղութիւն պաշտպանութեան:
ui_automatic_recommended|Ինքնաշարժ (Առաջարկեալ)
ui_manual_easy|Ձեռամբ (Դիւրին)
ui_manual_hard|Ձեռամբ (Դժուար)
ui_by_mouse_movement|Ըստ շարժման մկնիկի
ui_control_attack_direction|Ուղղութիւն յարձակման:
ui_lance_control|Կառավարումն նիզակի:
ui_by_relative_enemy_position|Ըստ դիրքի թշնամւոյ
ui_by_inverse_mouse_movement|Ըստ հակառակ շարժման մկնիկի
ui_battle_size|Չափ մարտի:
ui_show_attack_direction|Ցուցանել զուղղութիւն յարձակման
ui_show_targeting_reticule|Ցուցանել զնշանակէտ
ui_show_names_of_friendly_troops|Ցուցանել զանուանս բարեկամ զօրաց
ui_report_damage|Տեղեկութիւն վնասու
ui_report_shot_difficulty|Տեղեկութիւն դժուարութեան հարուածոյ
ui_difficulty_rating_percentage|Չափ դժուարութեան: %s%%
ui_controls|Կառավարումն
ui_video_options|Ընտրանիք տեսանիւթոյ
ui_done|Կատարեալ
ui_factions|Խմբակցութիւնք
ui_item_itemname|Իր: %s
ui_prop_propname|Առարկայ: %s
ui_unknown_unknownname|Անծանօթ: %s
ui_entry_point_entrypointname|Մուտք: %s
ui_passage_menu_item_passagename|Անցք: %s
ui_plant_plantname|Բոյս: %s
ui_export_file_for_character_playername_already_exists_overwrite_it|Նիւթ արտահանման վասն %s արդէն գոյ: Վերագրե՞լ զայն:
ui_yes|Այո
ui_no|Ոչ
ui_set_save_file_name|Դնել զանուն պահպանման նիւթոյ
ui_enter_new_name|Մուտ նոր անուն
ui_export_character|Արտահանել զանձ
ui_import_character|Ներածել զկերպար
ui_character_playername_exported_successfully|Կերպարն %s արտածեցաւ յաջողութեամբ:
ui_character_playername_imported_successfully|Կերպարն %s ներածեցաւ յաջողութեամբ:
ui_unable_to_open_import_file|Ոչ կարեմ բանալ զֆայլ ներածման:
ui_are_you_sure_you_want_to_import_the_character|Վստա՞հ էք, զի կամիք ներածել զկերպարն:
ui_unable_to_find_character_import_file|Ֆայլ ներածման ոչ գտանի:
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|At&Kիlիճ խաղայ փորձնական կերպիւ: Ներածել զկերպար պարտ է գնել զխաղն:
ui_change_skin|Մաշկ
ui_change_hair|Հերք
ui_change_hair_color|Փոխել զգոյն հերաց
ui_change_beard|Մօրուք
ui_tutorial|Սկզբնական աւգնութիւն
ui_tutorial_face_generator|Կոճակաւք եւ կարգաւորիչաւք փոխեցէ՛ք զդէմս ձերոյ կերպարի: Դարձուցանել զգլուխն՝ սեղմեցէ՛ք եւ շարժեցէ՛ք զմկանն:
ui_restore|Վերականգնել
ui_cancel|Չեղարկել
ui_delete|Ջնջել
ui_confirm_delete_game|Վստա՞հ էք, զի կամիք ջնջել զայս խաղ:
ui_error_removing_file|Սխալ ի ջնջման ֆայլի...
ui_day_datedisplay|Աւր %d (%d:%d%d)
ui_reset_changes|Դառնալ յառաջինն
ui_weapon_proficiencies|Հմտութիւնք զինուց
ui_skills|Կարողութիւնք
ui_attributes|Յատկութիւնք
ui_enter_name_here|*Գրեցէ՛ք զանուն ձեր աստ*
ui_edit_face|Փոխել զդէմս
ui_statistics|Վիճակագրութիւն
ui_next|Յաջորդ
ui_prev|Նախորդ
ui_learn|Ուսանել
ui_question_saving_policy|Ո՞րպէս կամիք պահպանել զխաղն?
ui_saving_policy_realistic|Իրական! Ելք առանց պահպանման արգելեալ է!
ui_saving_policy_nonrealistic|Ելք առանց պահպանման թոյլատրեալ է:
ui_tutorial_character_generation|Արդ գրեցէ՛ք զանուն ձեր եւ բաշխեցէ՛ք զմիաւորս յատկութեանց, կարողութեանց եւ հմտութեանց: Սեղմելով ի տարբեր տարրս՝ կարող էք գիտել, թէ որպէս նոքա ազդեն ի կերպարն:
ui_str|ՈՅԺ
ui_agi|ՃԱՐՊ.
ui_int|ԻՄԱՍՏ.
ui_cha|ՇՆՈՐՀ
ui_at_learning_limit|(Ի սահմանի ուսման)
ui_not_enough_skill_points_to_learn|(Չիք բաւական միաւորք կարողութեան վասն ուսման)
ui_strength|ոյժ
ui_agility|ճարպկութիւն
ui_intelligence|իմաստութիւն
ui_charisma|շնորհք
ui_not_enough_attributetype_to_learn_this_skill|(Չիք բաւական %s վասն ուսանելոյ զայս կարողութիւն)
ui_explanation_one_handed_weapon|Պարունակէ զգործածութիւն միաձեռնի սրոց, տապարաց եւ այլոց զինուց.
ui_explanation_two_handed_weapon|Պարունակէ զգործածութիւն երկձեռնի սրոց, մեծ տապարաց եւ մուրճաց.
ui_explanation_polearm|Պարունակէ զգործածութիւն նիզակաց, տէգաց եւ գաւազանաց.
ui_explanation_archery|Պարունակէ զգործածութիւն աղեղաց.
ui_explanation_crossbow|Պարունակէ զգործածութիւն աղեղնաց լարովի (արբալետաց).
ui_explanation_throwing|Պարունակէ զգործածութիւն նետողական զինուց, որպէս ջիարդք, քարինք եւ այլն.
ui_explanation_firearms|Պարունակէ զգործածութիւն հրազէնից.
ui_explanation_strength|Ոյժ: Իւրաքանչիւր երկու միաւոր յաւելու +1 յառողջութիւն: Այս կարողութիւնք ոչ կարեն բարձրանալ առաւել քան 1/3 մասն ոյժի: երկաթէ մարմին, հզօր հարուած, հզօր նետում.
ui_explanation_agility|Ճարպկութիւն: Իւրաքանչիւր միաւոր տայ հինգ միաւոր հմտութեան եւ արագացնէ զզէնս %0.5-աւ: Այս կարողութիւնք ոչ կարեն բարձրանալ առաւել քան 1/3 մասն ճարպկութեան: վահան, ատլետիզմ, զինագործութիւն, հեծելութիւն.
ui_explanation_intelligence|Իմաստութիւն: Իւրաքանչիւր միաւոր տայ յաւելեալ միաւոր կարողութեան: Այս կարողութիւնք ոչ կարեն բարձրանալ առաւել քան 1/3 մասն իմաստութեան: մարզում, հետախուզութիւն, մարտավարութիւն, բժշկութիւն.
ui_explanation_charisma|Շնորհք: Իւրաքանչիւր միաւոր յաւելու +1 ի թիւ զօրաց: Այս կարողութիւնք ոչ կարեն բարձրանալ առաւել քան 1/3 մասն շնորհի: առաջնորդութիւն, գերեվարութիւն, առեւտուր.
ui_level|Աստիճան: %d
ui_xp|Փորձառութիւն: %d
ui_next_level_at|Յաջորդ աստիճան: %d
ui_health_player|Առողջութիւն: %d/%d
ui_health|Առողջութիւն: %d
ui_attribute_points|Միաւորք յատկութեան: %d
ui_skill_points|Միաւորք կարողութեան: %d
ui_weapon_points|Միաւորք հմտութեան զինուց: %d
ui_mission_losses_none| ոչինչ.
ui_mission_losses_wounded|վիրաւորք :
ui_mission_losses_killed|սպանեալք :
ui_party_losses|%s : %d վիրաւոր --- %d սպանեալ (%d-ից).
ui_casualties_sustained|Կորուստք թշնամւոյ:
ui_advantage_change|Փոփոխութիւն առաւելութեան = %c%d
ui_overall_battle_casualties|Ընդհանուր կորուստք մարտի:
ui_advantage_outnumbered| Դուք էք յոյժ նուազ թուով.
ui_advantage_major_disadvantage| Ունիք մեծ անաւգնութիւն.
ui_advantage_slight_disadvantage| Ունիք սակաւ անաւգնութիւն.
ui_advantage_balanced| Դրութիւնն է հաւասարակշռեալ.
ui_advantage_fair_advantage| Մերձ էք յաղթանակի.
ui_advantage_greatly_favored| Դուք էք առաւել թուով.
ui_tactical_advantage|Մարտավարական առաւելութիւն: %d (%s)
ui_order_group|Հրամայեա՛ գնդին:
ui_question_save_changes|Դուք փոփոխեցէք զտարրս: Կամի՞ք պահպանել զփոփոխութիւնսն:
ui_yes_save|Այո՛, պահպանել
ui_no_discard_changes|Ո՛չ, ջնջել զփոփոխութիւնսն
ui_everyone_control|Ամենեքին!
ui_everyone_around_control|Մերձակայ զինուորք!
ui_others_control|Այլք!
ui_question_give_up_fight|Կամի՞ք լքանել զմարտն:
ui_give_up|Լքանել
ui_keep_fighting|Շարունակել զմարտն
ui_question_leave_area|Լքանել զտեղին
ui_cant_retreat_there_are_enemies_nearby|Ոչ կարէք նահանջել: Թշնամիք են մերձ!
ui_question_retreat_battle|Կամի՞ք նահանջել ի մարտէն:
ui_retreated_battle|%s փախեաւ ի մարտադաշտէն:
ui_retreated_battle|%s փախեաւ ի մարտադաշտէն:
ui_retreat|Նահանջել
ui_talk|Խօսել
ui_duel|Մենամարտել
ui_mount|Հեծնուլ
ui_riding_skill_not_adequate_to_mount|(Հմտութիւն հեծելութեան ոչ է բաւական)
ui_dismount|Իջանել ի ձիոյ
ui_exit|Ելք
ui_door_to|Դուռն առ:
ui_open|Բանալ
ui_equip|Զինուիլ
ui_baggage|Կարասի
ui_access_inventory|Բանալ զշտեմարանն
ui_chest|Արկղ
ui_passage|Անցք
ui_go|Երթալ
ui_retreat_battle|Նահանջել ի մարտէ
ui_leave_area|Լքանել զտեղին
ui_reports|Հաշուետուութիւնք
ui_camp|Բանակատեղի
ui_terrain|Տեղանք
ui_quests|Նոթք
ui_inventory|Շտեմարան
ui_character|Կերպար
ui_party|Գունդ
ui_paused|Դադար
ui_click_left_button_to_cancel_wait|Ի սպասման... (սեղմեցէ՛ք ձախ կոճակն վասն ելից)
ui_midnight|Կէս գիշեր
ui_late_night|Գիշեր
ui_dawn|Շաֆակ (Արշալոյս)
ui_early_morning|Առաւօտ վաղ
ui_morning|Առաւօտ
ui_noon|Միջօրէ
ui_afternoon|Յետմիջօրէ
ui_late_afternoon|Երեկոյ
ui_dusk|Վերջալոյս
ui_evening|Իրիկուն
ui_midnight|Կէս գիշեր
ui_level_limit_reached|Աստիճանի սահմանն հասեալ է!
ui_explanation_level_limit|Ողջոյն արկածախնդիր, At&Kիlիճ փորձնական տարբերակն սահմանափակեալ է մինչեւ 6-րդ աստիճան: Յուսամք, զի խաղն հաճոյ թուեցաւ ձեզ: Գնել զլիցենզիան յոյժ դիւրին է: Յետ գնման կարող էք շարունակել զխաղն այսր վայրէ: Արդ խաղն պահպանեսցի եւ փակեսցի:
ui_time_limit_reached|Ժամանակի սահմանն հասեալ է!
ui_explanation_time_limit|Ողջոյն արկածախնդիր, At&Kիlիճ փորձնական տարբերակն սահմանափակեալ է մինչեւ 30 խաղային աւուրս: Յուսամք, զի խաղն հաճոյ թուեցաւ ձեզ: Գնել զլիցենզիան յոյժ դիւրին է: Յետ գնման կարող էք շարունակել զխաղն այսր վայրէ: Արդ խաղն պահպանեսցի եւ փակեսցի.
ui_target_lost|Թիրախն կորեաւ
ui_waiting|Սպասէ.
ui_travelling_to|Երթայ առ:
ui_following|Հետեւի:
ui_accompanying|Ուղեկցի:
ui_running_from|Փախչի ի:
ui_patrolling|Շրջի պահակութեամբ
ui_patrolling_around|Շրջի պահակութեամբ շուրջ:
ui_holding|Կայ հաստատուն
ui_travelling|Ճանապարհորդէ
ui_fighting_against|Մարտնչի ընդդէմ:
ui_speed_equals|Արագութիւն: %s
