str_no_string|,
str_empty_string| 
str_yes|Այո՛:
str_no|Ո՛չ:
str_blank_string| 
str_noone|Ոչ ոք
str_s50_and_s51|{s50} եւ {s51}
str_s52_and_s51|{s52} եւ {s51}
str_s5_s_party|{s5} եւ զօրականք իւր
str_given_by_s1_at_s2|Տուեալ ի {s1} ի {s2}
str_given_by_s1_in_wilderness|Տուեալ ի {s1} յանապատի
str_s7_raiders|Ասպատակք {s7}
str_bandits_eliminated_by_another|Յելուզակքն բարձան ի միջոյ յայլմէ գնդէ:
str_msg_battle_won|Յաղթութիւն! Հար զTAB զերծանել...
str_tutorial_map1|Այժմ ի քարտէզի ես: Ընտրեա՛ զտեղի իւիք մատամբդ ձախով երթալ, մտանել ի քաղաքս կամ ի բախումն այլոց: Ժամանակն կայ առանց շարժման քո: Կամիս սպասել, զստեղն դատարկութեան կալ զօրէն:
str_randomize|Պատահական
str_charge|Յարձակումն
str_color|Գոյն
str_flip_horizontal|Շրջել հորիզոնական
str_flip_vertical|Շրջել ուղղահայեաց
str_hold_fire|Կալ զնետս
str_blunt_hold_fire|Կալ զնետս
str_tutorial_ammo_refilled|Նետք լցան դարձեալ:
str_tutorial_failed|Պարտութիւն: Մի՛ վհատիր: Լուր զհրահանգս եւ յաջողեսցես: Հար զ'Tab' եւ կրկնեա՛ զուսումն:
str_finished|(Կատարեալ)
str_delivered_damage|Հասուցեր {reg60} հարուածս:
str_archery_target_hit|Հեռաւորութիւն: {reg61} կանգուն: Միաւորք: {reg60}
str_use_baggage_for_inventory|Ի կռուի, օգտեա՛ զարկղ քո ի սկզբան վայրի առ ի զէնս քո փոխել:
str_cant_use_inventory_now|Չէ մարթ օգտել ի զինարանէն այժմ:
str_cant_use_inventory_arena|Յասպարիզի չէ մարթ օգտել ի զինարանէն:
str_cant_use_inventory_disguised|Ի ծպտեալ կերպարանի չէ մարթ օգտել ի զինարանէն:
str_cant_use_inventory_tutorial|Յուսման վայրի չէ մարթ օգտել ի զինարանէն:
str_1_denar|1 դինար
str_reg1_denars|{reg1} դինարք
str_january_reg1_reg2|{reg1} Յունուարի {reg2}
str_february_reg1_reg2|{reg1} Փետրուարի {reg2}
str_march_reg1_reg2|{reg1} Մարտի {reg2}
str_april_reg1_reg2|{reg1} Ապրիլի {reg2}
str_may_reg1_reg2|{reg1} Մայիսի {reg2}
str_june_reg1_reg2|{reg1} Յունիսի {reg2}
str_july_reg1_reg2|{reg1} Յուլիսի {reg2}
str_august_reg1_reg2|{reg1} Օգոստոսի {reg2}
str_september_reg1_reg2|{reg1} Սեպտեմբերի {reg2}
str_october_reg1_reg2|{reg1} Հոկտեմբերի {reg2}
str_november_reg1_reg2|{reg1} Նոյեմբերի {reg2}
str_december_reg1_reg2|{reg1} Դեկտեմբերի {reg2}
str_town_nighttime|Գիշեր է եւ փողոցք քաղաքին դատարկ են:
str_door_locked|Դուռն փակ է:
str_castle_is_abondened|Ամրոցն թափուր երեւի:
str_town_is_abondened|Քաղաքն անպաշտպան է:
str_place_is_occupied_by_player|Այս վայր ընդ ձեռամբ քոյով է:
str_place_is_occupied_by_enemy|Այս վայր ընդ ձեռամբ թշնամեաց է:
str_place_is_occupied_by_friendly|Այս վայր ընդ ձեռամբ բարեկամաց է:
str_do_you_want_to_retreat|Կամի՞ս նահանջել զօրէն:
str_give_up_fight|Լքանե՞ս զմարտն:
str_do_you_wish_to_leave_tutorial|Կամի՞ս ելանել ի զինավարժութենէ:
str_do_you_wish_to_surrender|Կամի՞ս անձնատուր լինել:
str_can_not_retreat|Չէ մարթ նահանջել: Թշնամիք մօտ են:
str_s1_joined_battle_enemy|{s1} յարեցաւ ի թշնամիսն:
str_s1_joined_battle_friend|{s1} յարեցաւ ի քեզ:
str_entrance_to_town_forbidden|Պահապան քաղաքին հսկեն զդրունս: Չէ մարթ քեզ մտանել յայտնապէս:
str_sneaking_to_town_impossible|Պահապան քաղաքին զգուշաւոր են: Նոյնիսկ ծպտեալ չէ մարթ մտանել:
str_battle_won|Յաղթեցեր ի պատերազմի:
str_battle_lost|Պարտեցար ի պատերազմի:
str_attack_walls_success|Յետ արիւնահեղ պատերազմի, քաջք քո տիրեցին պարսպացն:
str_attack_walls_failure|Զօրականք քո կոտորեցան ի պարիսպսն, իսկ կենդանիքն փախեան:
str_attack_walls_continue|Մարտն էր սաստիկ: Երկոքին կողմանք քաջաբար մարտեան: Բայց քաղաքն տակաւին ի ձեռս թշնամեաց է:
str_order_attack_success|Զօրք քո քաջութեամբ յաղթեցին թշնամեաց:
str_order_attack_failure|Տեսեր զկոտորած զօրաց քոց մինչեւ ի վերջին այրն:
str_order_attack_continue|Զօրք քո բախեցան ընդ թշնամիսն, բայց չկարացին յաղթել:
str_join_order_attack_success|Զօրք քո եւ դաշնակիցք միասին յաղթեցին թշնամեաց:
str_join_order_attack_failure|Տեսեր զկոտորած զօրաց քոց մինչեւ ի վերջին այրն:
str_join_order_attack_continue|Զօրք քո եւ դաշնակիցք մարտեան, բայց չկարացին յաղթել:
str_siege_defender_order_attack_success|Պաշտպանքն քաջաբար վանեցին զթշնամին:
str_siege_defender_order_attack_failure|Տեսեր զկոտորած պաշտպանացն անյոյս:
str_siege_defender_order_attack_continue|Պաշտպանքն մարտեան, բայց չվանեցին զթշնամին:
str_hero_taken_prisoner|{s1} ի {s3}-է գերի վարեցաւ ի {s2}:
str_hero_freed|{s1} ի {s3}-է ազատեցաւ ի {s2}:
str_center_captured|{s1} յառաւ ի {s2} ի {s3}-է:
str_troop_relation_increased|Յարաբերութիւնք քո ընդ {s1} լաւացան ի {reg1} ի {reg2}:
str_troop_relation_detoriated|Յարաբերութիւնք քո ընդ {s1} վատթարացան ի {reg1} ի {reg2}:
str_faction_relation_increased|Յարաբերութիւնք քո ընդ {s1} լաւացան ի {reg1} ի {reg2}:
str_faction_relation_detoriated|Յարաբերութիւնք քո ընդ {s1} վատթարացան ի {reg1} ի {reg2}:
str_party_gained_morale|Գունդ քո եկիտ զ{reg1} կորով:
str_party_lost_morale|Գունդ քո եկորոյս զ{reg1} կորով:
str_other_party_gained_morale|{s1} եկիտ զ{reg1} կորով:
str_other_party_lost_morale|{s1} եկորոյս զ{reg1} կորով:
str_qst_follow_spy_noticed_you|Լրտեսն եկիտ զքեզ: Փախչի այժմ:
str_father|հայր
str_husband|այր
str_wife|կին
str_daughter|դուստր
str_mother|մայր
str_son|որդի
str_brother|եղբայր
str_sister|քոյր
str_he|Նա
str_she|Նա
str_s3s_s2|{s2} {s3}-ի
str_s5_is_s51|{s5} է {s51}:
str_s5_is_the_ruler_of_s51|{s5} է տէր {s51}-ի:
str_s5_is_a_nobleman_of_s6|{s5} է ազնուական {s6}-ի:
str_relation_mnus_100|Ոխերիմ
str_relation_mnus_90|Ոխերիմ
str_relation_mnus_80|Ոխերիմ
str_relation_mnus_70|Ատելութեամբ լի
str_relation_mnus_60|Ատելութեամբ լի
str_relation_mnus_50| Յարձակողական
str_relation_mnus_40|  Բարկացեալ
str_relation_mnus_30|    Հակառակորդ
str_relation_mnus_20|      Դժգոհ
str_relation_mnus_10|        Կասկածամիտ
str_relation_plus_0|         Անտարբեր
str_relation_plus_10|          Համամիտ
str_relation_plus_20|           Մտերիմ
str_relation_plus_30|            Բարեացակամ
str_relation_plus_40|             Օժանդակող
str_relation_plus_50|              Բարեկամական 
str_relation_plus_60|               Երախտապարտ
str_relation_plus_70|                Մտերիմ բարեկամ
str_relation_plus_80|                 Հաւատարիմ
str_relation_plus_90|                  Նուիրեալ
str_relation_mnus_100_ns|{s60} ոխերիմ է քեզ:
str_relation_mnus_90_ns|{s60} ոխերիմ է քեզ:
str_relation_mnus_80_ns|{s60} ոխերիմ է քեզ:
str_relation_mnus_70_ns|{s60} յոյժ բարկացեալ է քեզ:
str_relation_mnus_60_ns|{s60} յոյժ բարկացեալ է քեզ:
str_relation_mnus_50_ns|{s60} յարձակողական է քեզ:
str_relation_mnus_40_ns|{s60} բարկացեալ է քեզ:
str_relation_mnus_30_ns|{s60} հակառակորդ է քեզ:
str_relation_mnus_20_ns|{s60} դժգոհ է քեզնէ:
str_relation_mnus_10_ns|{s60} կասկածամիտ է քեզ:
str_relation_plus_0_ns|{s60} անտարբեր է քեզ:
str_relation_plus_10_ns|{s60} համամիտ է քեզ:
str_relation_plus_20_ns|{s60} մտերիմ է քեզ:
str_relation_plus_30_ns|{s60} բարեացակամ է քեզ:
str_relation_plus_40_ns|{s60} օժանդակող է քեզ:
str_relation_plus_50_ns|{s60} բարեկամական է քեզ:
str_relation_plus_60_ns|{s60} երախտապարտ է քեզ:
str_relation_plus_70_ns|{s60} բարեկամաբար վարի ընդ քեզ:
str_relation_plus_80_ns|{s60} հաւատարիմ է քեզ:
str_relation_plus_90_ns|{s60} նուիրեալ է քեզ:
str_relation_reg1| Յարաբերութիւնք: {reg1}
str_center_relation_mnus_100|Ժողովուրդն աստ ատեն զքեզ մինչեւ ի մահ:
str_center_relation_mnus_90|Ժողովուրդն աստ սաստիկ ատեն զքեզ:
str_center_relation_mnus_80|Ժողովուրդն աստ չարամիտ են քեզ:
str_center_relation_mnus_70|Ժողովուրդն աստ ատեն զքեզ:
str_center_relation_mnus_60|Ժողովուրդն աստ ոխ ունին ընդ քեզ:
str_center_relation_mnus_50|Ժողովուրդն աստ թշնամաբար վարին ընդ քեզ:
str_center_relation_mnus_40|Ժողովուրդն աստ թշնամիք են քո:
str_center_relation_mnus_30|Ժողովուրդն աստ թշնամութիւն ունին ի սրտի:
str_center_relation_mnus_20|Ժողովուրդն աստ հակառակ են քեզ:
