ui_texture_detail|Մանրամասնութիւնք կերպասի:
ui_max_frame_rate|Առաւելագոյն չափ շրջանակաց:
ui_enable_bumpmap|Միացանել զուռուցիկութիւն
ui_disable_blood|Խափանել զարիւն
ui_disable_music|Խափանել զերաժշտութիւն
ui_disable_sound|Խափանել զձայն
ui_enable_cheats|Միացանել զխարդախութիւնս
ui_enable_edit_mode|Միացանել զխմբագրման եղանակ
ui_enable_pixel_shaders|Գործածել զստուերարկիչս
ui_enable_sound_variation|Միացանել զբազմազանութիւն ձայնից
ui_enable_vertex_shaders|Գործածել զգագաթնային ստուերարկիչս
ui_shadow_quality|Որակ ստուերաց:
ui_directx_7|DirectX 7
ui_directx_9|DirectX 9
ui_show_framerate|Ցուցանել զչափ շրջանակաց
ui_start_windowed|Սկսանել պատուհանաւ
ui_trialmode_caption|Փորձնական եղանակ
ui_trialmode|Արդ կարասցես աշխուժացուցանել զխաղն քո:
ui_launch_buy|Գնել լիցենզիա
ui_launch_faq|Յաճախակի տրուած հարցումք
ui_trialmode2|Առ ի աշխուժացուցանել զխաղն...
ui_trialmode3|Կամ կարասցես...
ui_trialmode4|Եթէ ունիցիս հարցումս...
ui_serial_key_caption|Գաղտնաբառ
ui_notification_serial_input|Մուծանեա զգաղտնաբառդ աստ:
ui_notification_serial_input_vc|Այս մոդուլ պահանջէ զսերիական թիւ Viking Conquest վասն ընթանալոյ: Գրեցէ՛ք զսերիական թիւ Viking Conquest ձեր ի ստորեւ (կարես զնա պատճենել եւ զօդել) եւ սեղմեա՛ զկոճակն Ակտիւացման:
ui_activate|Ակտիւացնել
ui_paste|Փակցնել
ui_notification_serial_internet_connection|Ակտիւացումն պահանջէ զկապ համացանցի!
ui_notification_serial_offline|Եթէ այս համակարգիչ ոչ ունի զկապ համացանցի, կարող էք փորձել զայս:
ui_manual_activation|Ձեռամբ ակտիւացումն
ui_offline_activation|Արտացանց ակտիւացումն
ui_manual_activation_caption|Ձեռամբ ակտիւացումն
ui_offline_activation_caption|Արտացանց ակտիւացումն
ui_cancel2|Չեղարկել
ui_close|Փակել
ui_ok2|Բարւոք է
ui_activation_successful|Խաղն ակտիւացաւ յաջողութեամբ:
ui_activation_successful2|Պահեցէ՛ք զսերիական թիւ ձեր յապահով տեղւոջ:
