skl_trade|Վաճառառութիւն
skl_trade_desc|Ամենայն աստիճան հմտութեանս այսորիկ նուազեցուցանէ զվնաս առեւտրոյ քո %%5-աւ: (Հմտութիւն խմբի)
skl_leadership|Առաջնորդութիւն
skl_leadership_desc|Ամենայն կէտ յաւելու զթիւ զօրականաց քոց 5-աւ, եւ նուազեցուցանէ զծախս եւ զթոշակս նոցա %%5-աւ: (Հմտութիւն առաջնորդի)
skl_prisoner_management|Կարգաւորութիւն Գերեաց
skl_prisoner_management_desc|Ամենայն աստիճան հմտութեանս այսորիկ յաւելու զթիւ գերեաց զորս կարես առնուլ %d-աւ: (Հմտութիւն առաջնորդի)
skl_reserved_1|Պահեստի Կարողութիւն 1
skl_reserved_1_desc|Այս է պահեստի կարողութիւն.
skl_reserved_2|Պահեստի Կարողութիւն 2
skl_reserved_2_desc|Այս է պահեստի կարողութիւն.
skl_reserved_3|Պահեստի Կարողութիւն 3
skl_reserved_3_desc|Այս է պահեստի կարողութիւն.
skl_reserved_4|Պահեստի Կարողութիւն 4
skl_reserved_4_desc|Այս է պահեստի կարողութիւն.
skl_persuasion|Համոզումն
skl_persuasion_desc|Հմտութիւնս այս օգնէ քեզ յընդունել տալ այլոց զտեսութիւն քո: (Հմտութիւն անձնական)
skl_engineer|Ճարտարապետութիւն
skl_engineer_desc|Հմտութիւնս այս տայ արդիւնաւորութիւն ի կառուցումն մեքենայից պաշարման եւ ի բարեկարգումն կալուածոց: (Հմտութիւն խմբի)
skl_first_aid|Առաջին Օգնութիւն
skl_first_aid_desc|Դիւցազունք վերստին ստանան զ%%5 առողջութեան իւրեանց յետ մարտի վասն ամենայն աստիճանի հմտութեանս: (Հմտութիւն խմբի)
skl_surgery|Վիրաբուժութիւն
skl_surgery_desc|Ամենայն կէտ յաւելու զհաւանականութիւնն զի վիրաւորեալքն ի խմբի քում ոչ մեռցին, այլ մնասցեն կենդանի %%4-աւ: (Հմտութիւն խմբի)
skl_wound_treatment|Դարմանումն Վիրաց
skl_wound_treatment_desc|Արագութիւն առողջացման խմբի յաւելու %%20-աւ վասն ամենայն աստիճանի հմտութեանս: (Հմտութիւն խմբի)
skl_inventory_management|Տնտեսութիւն Պաշարաց
skl_inventory_management_desc|Ամենայն աստիճան հմտութեանս յաւելու զտեղի պաշարաց քոց +6-աւ: (Հմտութիւն անձնական)
skl_spotting|Հետախուզութիւն
skl_spotting_desc|Տեսողութիւն խմբի յաւելու %%10-աւ վասն ամենայն աստիճանի հմտութեանս: (Հմտութիւն խմբի)
skl_pathfinding|Ուղեգիտութիւն
skl_pathfinding_desc|Արագութիւն խմբի ի քարտէսի յաւելու %%3-աւ վասն ամենայն աստիճանի հմտութեանս: (Հմտութիւն խմբի)
skl_tactics|Ռազմավարութիւն
skl_tactics_desc|Ամենայն երկու աստիճան հմտութեանս յաւելու զառաւելութիւն քո ի սկիզբն մարտի 1-աւ: (Հմտութիւն խմբի)
skl_tracking|Հետազօտութիւն
skl_tracking_desc|Հետք թշնամեաց լինին յայտնագոյնք: (Հմտութիւն խմբի)
skl_trainer|Վարժող
skl_trainer_desc|Ամենայն օր դիւցազուն ոմն ունող զհմտութիւնս զայս տայ փորձառութիւն այլոց անդամոց խմբին որոց աստիճանն է նուազ քան զիւրն: Փորձառութիւնն է այսպէս: 0, 4, 10, 16, 23, 30, 38, 46, 55, 65, 80: (Հմտութիւն անձնական)
skl_reserved_5|Պահեստի Կարողութիւն 5
