qstr_Next_Page|Յաջորդ էջ
qstr_Game_Rules:^|Կանոնք խաղի:^
qstr_0|0
qstr_Show_game_rules|Ցուցանել զկանոնս խաղի
qstr_Continue...|Շարունակել...
qstr_Candidate_#1:_{s1}|Թեկնածու #1: {s1}
qstr_Candidate_#2:_{s1}|Թեկնածու #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s4} {s3} կամի ընտրել զնոր սպարապետ եւ կոչէ զհպատակսն իւր առ ի խորհրդակցութիւն: {s1} եւ {s2} են հաւանական թեկնածուք:
qstr_Who_do_you_wish_to_s|Զո՞վ կամիք զաւրակցել:
qstr_{s1}_gives_his_suppo|{s1} տայ զձայն իւր վասն {s2}-ի:
qstr_Number_of_Supporters|Թիւ զաւրակցողաց: {reg0}
qstr_{s2}_has_heard_his_v|{s2} լուաւ զկարծիս հպատակաց իւրոց եւ ընտրեաց զ{s1} որպէս սպարապետ {s3}-ի:
qstr_Action|Գործողութիւն
qstr_Mount|Հեծնուլ ի ձի
qstr_Attack_Type|Տեսակ յարձակման
qstr_Stand_Ground|Պահպանել զդիրքս
qstr_Charge|Յարձակում
qstr_Follow_Me|Զկնի իմ եկայք
qstr_Hold_This_Position|Կալ աստէն
qstr_Spread_Out|Ցրուիլ
qstr_Stand_Closer|Խտանալ
qstr_Fall_Back|Նահանջել
qstr_Advance|Յառաջխաղացում
qstr_Dismount|Իջանել ի ձիոյ
qstr_Fire_At_Will|Արձակել զնետս ըստ կամաց
qstr_Hold_Your_Fire|Դադարեցուցանել զնետարձակութիւն
qstr_Use_Blunt_Weapons|Գործածել զբութ զէնս
qstr_Use_Any_Weapon|Գործածել զամենայն զէնս
qstr_Ready|Պատրաստ
qstr_Wounded|Վիրաւոր
qstr_Dead|Մեռեալ
qstr_Number_of_men_knocke|Թիւ ընկճեալ արանց: {reg1}
qstr_Number_of_men_left:_|Թիւ մնացեալ արանց: {reg1}
qstr_Opponents_Beaten:_{r|Յաղթահարեալ թշնամիք: {reg1}
qstr_Opponents_Remaining:|Մնացեալ թշնամիք: {reg1}
qstr_Remain_in_retirement|Մնալ ի հանգստեան
qstr_Go_back_to_the_adven|Վերադառնալ յարշաւանս
qstr_You_have_retired_at_|Յետ {reg5} աւուրց արշաւանաց դուք անկայք ի հանգիստ ի {reg4} մակարդակի:
qstr_Effect_on_Score|Ազդեցութիւն ի միաւորս
qstr_Settlements_owned_by|Բնակավայրք սեպհականք: {reg0}
qstr_Friendly_Settlements|Բնակավայրք բարեկամք: {reg0}
qstr_Hostile_Settlements:|Բնակավայրք թշնամիք: {reg0}
qstr_Friendly_Lords:_{reg|Ազնուականք բարեկամք: {reg0}
qstr_Enemy_Lords:_{reg0}|Ազնուականք թշնամիք: {reg0}
qstr_Victories:_{reg0}|Յաղթանակք: {reg0}
qstr_Defeats:_{reg0}|Պարտութիւնք: {reg0}
qstr_Quests_Completed:_{r|Աւարտեալ առաջադրանքք: {reg0}
qstr_Companions_Found:_{r|Գտեալ ուղեկիցք: {reg0}
qstr_Companions_Lost/Depa|Կորուսեալ կամ մեկնեալ ուղեկիցք: {reg0}
qstr_Wealth:_{reg0}_denar|Հարստութիւն: {reg0} դինար
qstr_Inventory:_{reg0}_de|Շտեմարան: {reg0} դինար
qstr_Renown:_{reg0}|Հռչակ: {reg0}
qstr_Experience:_{reg0}|Փորձառութիւն: {reg0}
qstr_Days_Passed:_{reg0}|Անցեալ աւուրք: {reg0}
qstr_Difficulty:_{reg0}%|Դժուարութիւն: %{reg0}
qstr_TOTAL_SCORE:_{reg0}|ԳՈՒՄԱՐ ՄԻԱՒՈՐԱՑ: {reg0}
qstr_None|Չիք
qstr_{s1}_of_{s3}_was_def|{s1} ի {s3}-է պարտեցաւ, բայց յաջողեցաւ նմա փախչիլ:
qstr_{s54}_is_a_claimant_|{s54} է յաւակնորդ գահին {s56}:
qstr_nowhere|ոչ մի տեղ
qstr_{s57}_and_{s58}|{s57} եւ {s58}
qstr_{reg3?She:He}|Նա
qstr_The_town_of_{s50}|Քաղաքն {s50}
qstr_The_village_of_{s50}|Գեւղն {s50} մերձ առ {s52}
qstr_{s51}_belongs_to_{s1|{s51} պատկանի {s1}-ի ի {s2}-է:^
qstr_{s7}_and_{s8}|{s7} եւ {s8}
qstr_{s2}It_has_no_villag|{s2} Ոչ ունի գեւղս:^
qstr_{s2}{reg0?Its_villag|{s2} {reg0?Գեւղք նորա:Գեւղ նորա} {s8}:^
qstr_{s2}Its_prosperity_i|{s2} Բարգաւաճութիւն նորա: {s50}
qstr_noone|ոչ ոք
qstr_{s9}_and_{s10}|{s9} եւ {s10}
qstr_{s5}_has_been_defeat|{s5} պարտեցաւ:
qstr_{s7}_opened_the_gate|{s7} եբաց զդրունսն
qstr_{s7}_closed_the_gate|{s7} եփակեաց զդրունսն
qstr_+{reg1}_to_party_mor|+{reg1} ի կորով զաւրախմբի
qstr_Requires_{reg1}_inte|Պահանջէ {reg1} իմաստութիւն առ ի ընթեռնուլ:
qstr_Reading_Progress:_{r|Ընթացք ընթերցման: %{reg1}
qstr_wound_treament|դարմանումն վիրաց
qstr_trainer|վարժիչ
qstr_surgery|վիրաբուժութիւն
qstr_+1_to_{s1}_while_in_|Յաւելուլ +1 ի {s1} մինչ է ի շտեմարանի
qstr_Move_here|Շարժիլ այսր:
qstr_View_notes|Տեսանել զնշանակս:
qstr_Accompany|Ընկերակցիլ:
qstr_killed|սպանեալ
qstr_wounded|Վիրաւոր
qstr_{s0}^TOTAL:_{reg3}__|{s0}^ԳՈՒՄԱՐ: {reg3} ({s2})
qstr_^None|^Չիք
qstr_nothing|ոչինչ
qstr_{reg0}_village{reg1?|{reg0} գեւղ{reg1?ք:}
qstr_{reg0}_castle{reg1?s|{reg0} ամրոց{reg1?ք:}
qstr_{reg0}_castle{reg1?s:|{reg0} ամրոց{reg1?ք:} եւ {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} քաղաք{reg1?ք:}
qstr_{reg0}_town{reg1?s:}_|{reg0} քաղաք{reg1?ք:} եւ {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} քաղաք{reg1?ք:}, {s0}
qstr_Your_opponents_are_r|Հակառակորդք քո պատրաստ են մարտի:
qstr_Try_to_destroy_as_ma|Ջանացէ՛ք կործանել զորքան մարթ է բազում թիրախս: Ունիք երկուս եւ կէս վայրկեանս առ ի աւարտել զայս:
qstr_Stay_behind_the_line|Կացէ՛ք յետս գծին եւ հարէ՛ք զթիրախսն:
qstr_Battle_Advantage_=_{|Առաւելութիւն մարտի = {reg0}:
qstr_{s9}_wants_you_to_re|{s9} կամի զի դուք հետեւեսջիք բանակի նորա մինչեւ ի յաջորդ հրաման:
qstr__Being_Raided_|(Յարձակեալ)
qstr__Looted_|(Աւարեալ)
qstr__Under_Siege_|(Պաշարեալ)
qstr_The_village_of_{s1}_|Գեւղն {s1} աւարեցաւ ի {s2}-է:
qstr_{s3}_is_no_longer_un|{s3} այլեւս չէ պաշարեալ:
qstr_Small_bands_of_enemi|Սակաւաւոր խումբ թշնամեաց տեսաւ մերձ առ {s1}:
qstr_Enemy_patrols_spotte|Պահակախումբ թշնամւոյն տեսաւ մերձ առ {s1}:
qstr_Medium_sized_group_o|Միջակ խումբ թշնամեաց տեսաւ մերձ առ {s1}:
qstr_Significant_group_of|Բազում խումբ թշնամեաց տեսաւ մերձ առ {s1}:
qstr_Army_of_enemies_spot|Բանակ թշնամւոյն տեսաւ մերձ առ {s1}:
qstr_Large_army_of_enemie|Մեծ բանակ թշնամւոյն տեսաւ մերձ առ {s1}:
qstr_Great_host_of_enemie|Յոյժ մեծ բանակ թշնամւոյն տեսաւ մերձ առ {s1}:
qstr_{s1}_has_been_besieg|{s1} պաշարեցաւ ի {s2}-է ի {s3}-է:
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|Նոր սպարապետ {s1}-ի է {s2}:
qstr_You_gained_{reg12}_r|Դուք վաստակեցիք {reg12} հռչակ:
qstr_You_lose_{reg12}_ren|Դուք կորուսիք {reg12} հռչակ:
qstr_Your_relation_with_{|Յարաբերութիւն ձեր ընդ {s1} լաւացաւ:
qstr_Your_relation_with_{s|Յարաբերութիւն ձեր ընդ {s1} վատթարացաւ:
qstr_You_gain_honour.|Դուք վաստակեցիք պատիւ:
qstr_You_lose_honour.|Դուք կորուսիք պատիւ:
qstr_{s1}_has_declared_wa|{s1} յայտարարեաց պատերազմ ընդդէմ {s2}-ի:
qstr_{s1}_and_{s2}_have_m|{s1} եւ {s2} կնքեցին զհաշտութիւն:
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?էր ի սահմանս:է արդ ի սահմանս} {s3}:
